Nama,Komentar,Waktu,Likes,Reply Count
@lmnzxx,"perjokian ini malah jadi salah satu sumber rejeki buat gw sendiri. Halo gw mahasiswa IT di salah satu kampus swasta di daerah gw, and fyi, kesenjangan sosial di kampus gw itu bener bener jomplang banget. Ada orang orang yg bener bener kaya nya ga ketulungan, dan ada juga yg dapet beasiswa tapi untuk biaya hidup nya bener bener kurang banget (bukan minim lagi). Tapi walau kesenjangan itu terjadi, anehnya most of them bener bener masih bisa punya uang buat bayar joki. I mean wtf guys, gw sebagai salah satu orang yg melakukan open jasa joki itu sendiri kaget bener bener kaget rasanya. Temen yg dikelas diajak nongkrong susah, main kesana kesini susah, but they got the money untuk joki daripada belajar. Secara concern gw sangat paham itu hal yg tidak benar untuk dilakukan, tetapi siapa sih yg gamau dapet sumber tambahan penghasilan cuman dari ngerjain soal soal, project, artikel, etc. Apakah gw merasa bersalah? not really, karena ini sebuah pekerjaan, dan gaada undang undang yang mengatur, I mean, ini legal, gaada regulasinya. Nah masalahnya, institusi pendidikan kita hanya memberikan tugas, project, dll nya, tapi tanpa pengujian, apakah benar itu dibuat oleh ybs. Menurut pendapat gw pribadi, hal yg paling masuk akal yg dapat dilakukan ya pengawasan dan pengujian secara ketat yg dapat dilakukan oleh institusi pendidikan. Karena dari pengalaman gw pribadi, gw pernah dapet client yg orangnya bahkan bisa gw bilang lebih pinter dari gw di bidang tersebut, cuman memang dia gaada waktunya buat ngerjain, akhirnya ngejoki. Itu gimana jadinya kalo yg terjadi seperti itu?",2024-08-29T08:11:40Z,0,2.0
@giofandisamin7362,Reall ini pun terjadi sama saya...makanya skrng yg jadi pertanyaan apa beda joki atau punya orang dalam.?,2024-08-29T15:32:42Z,0,
@reganharvan,"sorry to say tpi secara moralitas berarti ya anda setara sama para koruptor, yg diutamakan adl cuan daripada kepentingan bersama, dlm konteks ini bersama artinya mendukung lingkup pendidikan untuk menghasilkan lulusan yg betul² memiliki kualitasnya masing² demi kepentingan bangsa. Gw rasa mindset koruptor jg kurang lebih sama, krn mereka pikir itu merupakan peluang dan yg dipeduliin adl kepentingan pribadi ya sudah, akhirnya korupsipun dilakuin meski korbannya rakyat itu sendiri",2024-08-30T09:37:14Z,0,
@one6483,Kalau Joki jabatan jdi pejabat ada gak kak?,2024-08-28T19:48:35Z,0,0.0
@rahmarunindaru318,30:55 the value 👍👍👍👍,2024-08-28T14:16:53Z,0,0.0
@nemo61155,"Kalau bahas inkompeten, tuh dari awal busuknya. Dari tahap penerimaan mahasiswa baru saja sudah banyak kekurangan, yang berduit dengan mudahnya lolos seleksi.",2024-08-28T00:33:47Z,0,0.0
@rahmarunindaru318,15:32 ironis sih😂,2024-08-27T11:03:57Z,0,0.0
@davidh.darmawan1603,"bang Dea, kita sama bang wkwkwk

gua frustrasi sampe nangis waktu itu (pas SMP)",2024-08-27T03:36:34Z,0,0.0
@agattok,"Pembahasan ini tuh bener2 kunci utama kalau mau negara kita maju, tapi kalau dari atas dan dari tiap lapisan masyarakat gak punya kesadaran ttg hal ini, ya gak akan berjalan sampai kapanpun. Bahkan gambaran Indonesia emas itu mungkin cuma mimpi doang yang sangat susah untuk dicapai",2024-08-26T13:56:53Z,0,0.0
@bimaprabowo4570,"yaaah selamat anda mengetahui bobroknya negeri ini, banyak yang teriak teriak bahwa kesengsaraan di negeri ini karna langkanya kejujuran, banyaknya korupsi, banyaknya kejahatan. Padahal kalau kalian lihat warga nya sendiri pun, ga jauh bedah sama yang di pemerintahan. 

Dari jaman sekolah saja, yang menyontek di normalisasi, kita mengigatkan bahwa ada PR. Kita yang dijauhi. 
Guru yang meniadakan pelajaran atau mengadakan jamkos, dianggap pahlawan. Padahal kita sebagai pelajar harusnya menuntut untuk menerima pelajaran. Harusnya kita marah, karna tidak mendapatkan hak kita. 

Lalu saat di masyarakat, banyaknya pungli dimana mana.
Yang paling gw kesel adalah ada pengangkut lele, truknya jatuh, semua lelenya di jarah.
Lalu ada pengangkut minyak goreng, minyaknya di jarah. 
PADAHAL BAPAK SOPIRNYA PERBAN DI KEPALANYA MASIH ADA DARAH BASAHNYA.",2024-08-26T13:25:44Z,1,0.0
@prabhakariskapuspamadana2748,"Begitu denger ""orang Indonesia itu sangat obses dengan gelar"" jadi keinget ""Thoriq sudah haji dari 2 bulan!!""",2024-08-26T09:49:59Z,0,0.0
@haerinieekang,Emng yaa pendidikan di negara ini udh semakin bobrok. 🥲 Kyk astagaaa 🫠,2024-08-26T02:27:32Z,0,0.0
@frisslyangelica8852,alasan gua milih kuliah diluar negeri 🙃,2024-08-25T04:32:16Z,0,0.0
@isnainirahmawati448,"bener banget kaa.. aku merasa ini relate sama yang aku pelajari, bahwa apapun masalahnya .mau pendidikan, ekonomi, sosial apapun itu solusinya ada di 3 pilar
1. individu dan keluarga, karakternya bener bener terbentuk, bertakwa, tidak melanggar peraturan, ditanamkan sejak dini
2. masyarakat, yang berperan sebagai pengawas, beramar ma'ruf nahi munkar (mengajak orang berbuat baik dan melarang orang berbuat jahat) ada yang salah bisa dicontohin, ada yang ga bener diingetin 
3. negara (sistem), nah peran terbesar emang di sistem sii yaa..  sistem bobrok, individu yang okey pun lama lama ya bobrok, misal di islam tujuan seharusnya pendidikan adalah untuk meningkatkan ketakwaan kepada Allah.. bukan nyari ijazah yang ujungnya untuk pekerjaan dan uang.. bahkan mencari perkerjaan itu ya dinilai dari kemampuan..dan gurunya pun sangat dimuliakan.. outputnya jadinya ga abal abal, para cendikiawan, ulama, penemu dll di era kejayaan islam.. dan kalaupun tetep ada pelanggaran maka sanki yang menjerakan pasti main... 

darurat pendidikan..ketiga pilar itu udah ga baik baik aja.. bobrok
lalu apa yang harusnya dilakukan??",2024-08-24T16:48:03Z,0,1.0
@isnainirahmawati448,makanya itu sering dikatakan jepang lebih islami dari pada indo yang mayoritas islam.. 🥲,2024-08-24T16:51:34Z,0,
@Johnkadir,"Mahasiswa yang pakai joki menurutku sebetulnya bukan karena bodoh, tapi lebih karena malas. Ngeluarin uang beberapa juta dibanding harus capek mulai menulis dan analisis data skripsi.

Padahal di google dan youtube sudah sangat mudah untuk mengakses hal-hal yang bisa mendukung untuk menyelesaikan tugas akhir.

Dulu aku pusing waktu mau mulai ngerjain bagian olah data, terus pelan-pelan belajar di youtube dan baca beberapa buku panduan yang bisa diakses gratis, satu dua hari alhamdulillah sudah bisa menyelesaikan pengolahan data.",2024-08-24T03:38:01Z,0,0.0
@nahlcode,"""Perubahan Sistem dengan Konsekuensinya dan pentingnya Kesadaran diri.""
_______
Thanks @MalakaProjectid",2024-08-23T06:15:42Z,0,0.0
@indrabayusegara9086,Cantik banget kaya Kim ji won ❤❤❤,2024-08-23T05:20:04Z,0,0.0
@monthbrand4381,Lokasi podcast nya dmna ya kka,2024-08-22T20:15:19Z,0,0.0
@PetraKusuma-tk4wt,Gmana ngak bobrok pejabat aja ijaza palsu..mna muka badak ngak punya malu rakus,2024-08-22T18:33:34Z,0,0.0
@krisbudiarto-kn8wi,"<------- tukang potokopi nyimak ( yang sering di mintain tolong bikinin makalah, laporan PKL sama skripsi ). . . . :v :v :v dari level SMP sampe anak kuliahan 😅😅😅😅. . . pesan saya tetaplah goblok biar gw ada kerjaan terus wkwkwkwk",2024-08-22T06:52:16Z,0,0.0
@davidrikos7903,"Sebenernya kebanyaksn penjoki itu ngejoki buat bayar kuliah, bayangin pekerjaan gaji diatas UMR, tanpa ongkos pulang pergi, bisa dilakukan dimana saja dan gak ganggu waktu kuliah, what a dream job, dan kebanyakan orang yang nyewa jasa juga udah kaya dari sananya, walaupun gak kompeten mereka bakal tetep dapet kerjaan bagus setelah lulus.",2024-08-22T03:09:11Z,0,0.0
@cristinajihanpangestuti8477,Aku setuju banget bahasan tentang guru di Indo,2024-08-21T16:13:09Z,0,0.0
@samueltatsu,"Great conversation! Gw numpang keluarin uneg"" ya.. masih nyerempet ""joki"" dan kayanya belum sempet disinggung, yaitu: SIM nembak.

Indonesia, spesifiknya di kota"" padat kaya Jakarta itu penduduknya mulai beraktivitas paling pagi dan pulang kerja paling larut dibanding kota"" di negara"" lain, tapi secara produktivitas ternyata ga terlalu bersaing. Kenapa ? Menurut gw salah satu faktor kunci di sini itu kemacetan. Waktu yang dibutuhin dari tempat tinggal ke tempat kerja itu ga main"" dan buat mengatasi ini ya wajar lah pada rajin bangun pagi, kerja, pulang larut tapi produktivitas kerja sama aja kaya penduduk di negara lain yang bangun jam 8, kerja, jam 6 sore udah pulang, bahkan mungkin penduduk Jakarta lebih ga produktif karena cape duluan di jalan.

Apa urusannya sama SIM nembak ? SIM itu kan semacem sertifikasi bahwa pemegang SIM itu paham cara berkendara yang baik dan benar, selain untuk meminimalisir resiko kecelakaan tapi juga meningkatkan ketertiban lalu lintas. Kalo diperhatiin, ujian teori dan praktek ketika mau buat SIM isinya ya itu. Gw sebagai pengendara setiap hari ada aja ngeliat kelakuan pengendara lain di jalanan yang ga tertib: 
- ambil jalur kanan, trus tiba"" kasi lampu sen kiri trus motong jalur buat belok hampir 90 derajat, atau sebaliknya
- jelas"" garisnya cuma buat 2 jalur tapi somehow mobil, motor, angkot bisa bikin itu jadi 3,5 jalur
- ada 2 jalur tapi ini malah jalan di tengah dgn kecepatan santai serasa jalanan punya sendiri
- di perempatan bukannya berenti di blkg garis pas lampu merah tapi pada maju"" sampe ngambil space jalanan yang arah tegak lurus jdi ky ada penyempitan jalan. Pada ngarep apa sih dengan maju"" gitu kaya lagi mau balapan ?
- jelas"" lampu merah tapi diterobos aja, trus stuck di tengah perempatan jadi pemicu macet yang akhirnya cuma demi doi 3 menit lebih cepet sampe tujuan, kendaraan"" yang di belakangnya kena delay stgh jam gegara mobil"" pd gabisa gerak, motor"" nyelip"" gajelas bikin makin nyangkut

masi banyak macem"" contoh lainnya tapi gw paling gregetan sama yg di atas. Lebih gregetan lagi karena ga jarang gw liat hal ini terjadi ketika ada polisi lalu lintas di sekitar tapi toh didiemin aja. Berdasarkan pengalaman gw ini, gw setuju sama setidaknya 2 poin yang disampein di podcast ini: 
1. Perlu ada proses seleksi yang proper bahwa org"" pemegang sertifikasi itu betul"" org"" yg kompeten
2. Perlu ada konsekuensi atau ganjaran yang nyata atas pelanggaran yang dikerjakan
Kenapa menurut gw hal ini bisa mengurangi macet ? Seleksi yang proper artinya volume kendaraan di jalan juga berkurang karena ga semua orang bisa asal punya SIM, dan pengendara"" ini punya cukup kompetensi buat tau gimana berkendara dengan tertib. Tau tapi kan belum tentu dikerjain, nah di sini pentingnya kesadaran bahwa setiap pelanggaran ada konsekuensinya dan pemegang peran ini ya penegak ketertiban lalu lintas.

Gw yakin konsep yang sama bisa dikaitin dlm konteks pendidikan dan konteks hiring tempat kerja yang udah dibahas di podcast ini, tapi sekian uneg"" gw yang tiap hari mesti ngadepin situasi gajelas di jalanan ✌",2024-08-21T15:55:54Z,0,0.0
@MuhammadDikaHaryadi,ka abigail cantik bangettt njayyy,2024-08-21T07:00:53Z,0,0.0
@maulidarizqika4610,Suka Malaka project selama gaada coki,2024-08-21T04:20:00Z,0,0.0
@Giemagination,Bayangin lu dibedah pake tutorial youtube gimana ngerinya 😂😂😂,2024-08-20T12:03:11Z,0,0.0
@dennisaaliffan.4641,gua tebak podcast specifically vid ini ngga bakal viral dengan sendirinya.,2024-08-20T08:06:18Z,0,0.0
@lebiantobatara4706,"Ngejoki udah budaya, tinggal caranya yang perlu diperbaiki(repair), Jadi konsultan skripsi mungkin, paid as a consultant not as a ""Joki"", Isn't it better?",2024-08-20T05:59:27Z,0,0.0
@lawas2443,Bang pior @nitavior1 dengerin nih,2024-08-19T19:22:51Z,0,0.0
@MiuNix-candul,Para pemakai jasa joki itu.. Menurutku sih adalah org2 yg hebat. Karena dia mampu dan sanggup menipu DIRI nya sendiri... 👏👏,2024-08-19T07:04:02Z,0,0.0
@SAKADIENPRADANA,"wkwk yg penting koordinator skripsi ga kena SP dari atasan, apapun caranya skripsi harus selesai sesuai deadline",2024-08-19T04:56:51Z,0,0.0
@amalitasofiasalsabila5414,29:05 terkhusus orang yang memotret/merekam adegan film saat menonton film di bioskop lalu foto itu diunggah di sosmed 😭.,2024-08-19T01:38:36Z,0,0.0
@rayanthelastdragon,"Jujur joki emg se normal itu, di sekolah gue tiap akhir semester sekolah pasti pada nyari joki. Bayangin tugas simpel anak SMA harus di joki 😂",2024-08-18T11:43:21Z,0,0.0
@tankrakatoa5075,"Di pondok pesantren ada 2 hal yang tabu dan tegas hukumnya ""drop out"": 1. Mencontek; 2 Mencuri... jangan pernah coba² dah 😂",2024-08-18T08:23:56Z,0,0.0
@ArdiAnsyah-fp9vr,Terima Kasih Malaka projek atas ilmu dan pencerahannya ❤,2024-08-18T06:25:17Z,0,0.0
@ArdiAnsyah-fp9vr,47:46 Kak Jerome sudah mencari solusi,2024-08-18T06:24:06Z,0,0.0
@ArdiAnsyah-fp9vr,Ambis & Kompromis,2024-08-18T06:21:41Z,0,0.0
@ArdiAnsyah-fp9vr,42:00 ( Kak Jerome Berpikir keras ),2024-08-18T06:19:17Z,0,0.0
@ArdiAnsyah-fp9vr,39.55,2024-08-18T06:15:39Z,0,0.0
@ArdiAnsyah-fp9vr,"Jepang meman keren. Bagus di contoh nii. Fumio Sasaki, Mario Kondo tokoh minimalis Jepang yang saya pelajari😊",2024-08-18T06:08:36Z,1,0.0
@akwijayanto,"Apakah dengan (simply) meningkatkan kesejahteraan mereka kemudian memperbaiki keadaan? Kok nggak yakin juga ya. Emang mereka pernah merasa cukup? Akarnya kan pada nature manusia yang tidak pernah merasa cukup. Emang orang Jepang sejahtera? Nggak juga deh. Tapi lihat mereka, bisa loh ngebangun dan ngejalanin sistem dengan sangat baik. Di kita? Emang manusianya yang kudu dibenerin",2024-08-17T08:46:32Z,0,0.0
@tiwiangembani,"Setuju harus menjamin kesejahteraan guru, tapi dengan syarat kita juga harus menjaga mutu guru juga jangan asal kasih fasilitas dan upah yg layak tapi ga mutu. Karena sekarang banyak guru yang ga mutu, kuliah mereka joki terus ngajar cuma sekedarnya aja. guru-guru ini pun ga belajar lagi loh biasanya jadi ngajar cuma rutinitas kaya kerja kantoran aja.",2024-08-17T05:56:45Z,0,0.0
@tiwiangembani,Jerome yang punya cita2 jadi Menteri Pendidikan banyak banget nih PRnya kalo mau buat pendidikan Indonesia berkualitas,2024-08-17T01:19:01Z,0,0.0
@human24700,"Kuncinya kalo mau Indonesia berubah ya mulai dari masyarakatnya sendiri, kritik terus, jangan pernah mau diam dan menormalisasi sesuatu yang salah. Ini negara dimana kita dan keturunan tinggal bukan sebatas tempat bermalam sehari dua hari.",2024-08-16T14:42:30Z,1,0.0
@human24700,"Knp joki tugas kuliah ini ga buka seminar aja, sistemnya bimbingan / konsultasi di luar kampus gitu loh, ibarat less private",2024-08-16T14:28:20Z,1,0.0
@akbarmubarak6686,pertanyaannya semua terjawab di channel guru gembul yg bahas pendidikan di indonesia,2024-08-16T09:13:44Z,0,0.0
@LucielAdv,"Ambil contoh situasi
Lu ngelamar kerja disuatu posisi (lu yang punya skill dan pengalaman) dan temen lu ngelamar (yang punya ordal) kerja di perusahaan di mana temen lu yang diterima karena di ""joki"" in oleh ordal untuk mendapat posisi tsb. paham kan?",2024-08-16T08:06:36Z,0,0.0
@andikamiharja7700,"Saya setuju sih. Dan itu juga salah satu mengapa saya kepikiran untuk keluar dari Indonesia. Pada dasarnya saya juga sudah lelah karena sering menegur bawahan yg malas, tp pada tidak mau dengar ya udah keluar. Udah lelah di bully dan di racist di tempat kerja bahkan dulu jaman sekolah sampai menyebut haram dan agama ya udah keluar, tp waktu jaman sekolah gua tidak terlalu peduli  sih. Sehingga sudah kepikiran apa saya juga sudah mulai racist gara2 orang kayak gitu.",2024-08-16T06:02:17Z,0,0.0
@yukiko_5051,"Kalau di Amrik orang-orang diterima karena warna kulit dan lgbt, disini diterima karena joki ya 😂",2024-08-16T04:52:34Z,0,0.0
@riryrasya,"Jangankan joki. Yg langsung lulus dapet ijazah juga ada kaaaan, padahal ga pernah kuliah atau drop out.",2024-08-16T00:51:26Z,1,0.0
@achmadiid8644,"Ngga kenal,, siapa cewek itu",2024-08-15T21:37:57Z,0,0.0
@wahyusugianto8715,Jadikan film 3 Idiots tontonan wajib di SMP hehehe,2024-08-15T16:27:31Z,0,0.0
@alyadhiqtaelfalah5789,"25:23 rill, nilai smt 1 ak di salah 1 mapel waktu SMA benar2 sesuai KKM (katanya biar grafiknya naik) wkwkwkw",2024-08-15T05:32:56Z,0,0.0
@secondaccount2709,Bahkan di dunia kerja yg disukai org yg 'fleksibel' bukan yang patuh dengan aturan dari situ aja dah keliatan 😂 aku g kuat kerja dg sistem kyk gt kayak bertentangan dg hati nurani,2024-08-15T01:59:45Z,0,0.0
@secondaccount2709,G kekurangan org pintar? Memang kekurangan karena yg berhasil lulus malah orang bodoh 😢,2024-08-15T01:25:07Z,0,0.0
@WhiteSandBali-h5s,"Selama pendidikan dikuasai mafia baik mafia agama, mafia jabatan, mafia almamater dan mafia2 lainnya maka gak bakalan pendidikan di Indonesia bisa masuk ke circle negara yg berpendidikan maju.",2024-08-15T01:21:32Z,1,0.0
@07_baihaqimangngile82,podcastnya ada cameo lol,2024-08-14T23:49:01Z,0,0.0
@lisamery246,"Inspiratif, semoga banyak yg sadar ""ilmu pengetahuan penting...cara mendapatkannya harus dengan proses baik dan jujur""",2024-08-14T12:39:09Z,0,0.0
@ardyyjacobs17,love it,2024-08-14T12:02:11Z,1,0.0
@riana_def,"34:16 aku pernah ngelakuin itu, dan karena nonton ini akhirnya sadar.. ngebantu teman buat skripsi.. buatin org tugasnya.. terima kasih menyadarkan saya lewat tontonan ini",2024-08-14T11:13:56Z,0,0.0
@riana_def,24:20 🗒,2024-08-14T11:01:21Z,0,0.0
@VioniztG,"Terkadang joki memang meresahkan, Tapi bagi yang Introvert dan males presentasi ini sangat membantu. Yang Introvert itu biasanya mereka sudah menyiapkan sumber dan idenya dari dia dan dia menulis sendiri. tapi untuk paraphrase dia butuh joki karena takut kebanyakan revisi. apalagi sidang skripsi identik dengan pembantaian yang sulit ditoleransi oleh mahasiswa introvert yang punya masalah kesehatan mental akut. Dan yang jadi masalah lagi adalah kampus di konoha ini mau bimbingan aja susahnya minta ampun. Kalo mau dibandingin sama yang di China (yang sistemnya mirip), Dosen pembimbing mereka lebih ramah, dan dosennya gak gila hormat. Mungkin diantara kalian ada yang mikir kalo ada yang kuliah di China bisa sharing gimana Dosen di sana?",2024-08-14T09:21:49Z,0,0.0
@ambri7762,"Salfok sama suaranya Abigail, agak mirip Gea idol 😅",2024-08-14T09:07:43Z,0,0.0
@windaseptarini9647,"Mending dibuat blacklist siapa2 aja yg pake joki, supaya kita bisa aman pilih orang yg kompeten, terutama dokter",2024-08-14T03:28:46Z,0,0.0
@andreanywetik8504,"Terima kasih sdh angkat materi ini, sy jadi guru sejak 1986, dan kecurangan di dunia pendidikan sdh sy lihat sejak sy jd guru. Yang sedih kecurangan saat UN bahkan dilakukan oleh pihak sekolah (krn mengawas silang sy jd tau kecurangan itu)",2024-08-13T07:32:17Z,0,0.0
@aishalathisa,Jerome pundung mulu dari awal awal wkwkwk,2024-08-13T06:28:13Z,0,0.0
@imhank98,"41:25 patah hati kependidikan ku dimulai sejak kelas 4 SD, dan bnyk merubah konsen kependidikan ku mulai menurun, ya karena sakit hati ama guru aja sih perkara sesuatu hal yg gk masuk diotakku jdi dinormalisasi 🗿",2024-08-13T02:44:26Z,0,0.0
@uchihaackermann592,"any1ng si MEGANE cengengesan mlu saat org lain ngejelasin, terus suka motong pembicaraan orang,, ganggu bet jir",2024-08-13T00:29:17Z,0,0.0
@ratnangeciwis8865,"Emang susah, mental bangsa ini udah gawan bayi kalo bahasa jawa- nya senang menghalalkan segala cara untuk mengejar segala sesuatu yang berbau privilage. klo mau ngubah negara ini, selain penegakan hukum, yg paling mendasar ubahlah pola pikir dan emak2 value. karena dari emak2 lah anak2 dididik dan paling dasar dpt moral kompas. contoh sekecil antri di kasir minimarket aja. saya sering harus menegur dari sindiran sampai yang telak2 tegas, kepada ibu2 yg nyerobot antrian, dan suka naruh barang di kasir tp masih keliling nyari2 barang lagi (bikin antrian panjang) dan itu mereka anggap wajar! etika di scoop sekecil itu aja seringkali dianggap benar, gimana dg yg scoop besar????",2024-08-12T15:30:21Z,0,0.0
@ana_vandra,Negara Indonesia lebih mengagumi hasil daripada prosesnya,2024-08-12T14:33:15Z,0,0.0
@alittleassassin,"Ferry *""Background""* Irwandi",2024-08-12T13:26:36Z,0,0.0
@gunstersmania,"memberikan akreditasi, kepada seseorang yang sebenernya gak kompeten, disini impactnya udah jelas, bukan lagi bahas mana yang lebih dulu telur atau ayam. mungkin yang buat sistem juga termasuk yang sebenarnya gak kompeten dan jadi lah sekarang ini. saat ini yang perlu di kritik juga soal isu bagaimana sekolah yang baik secara mutu bisa bertahan dengan gempuran kebutuhan standarisasi pendidikan, mulai aja dulu dari ini, mudah-mudahan joki bisa dihilangkan",2024-08-12T09:26:34Z,0,0.0
@KMWProduction,"Sekarang malahan dosen2 nya yang to the poin nawarin ngejoki buat mahasiswa, dan yang ga mau kuliahnya dipersulit...",2024-08-12T08:41:13Z,0,1.0
@EmulatorRealme8i,Dan saya adalah salah satu korbannya,2024-08-13T00:54:14Z,0,
@ekasutikno,Ngurus negara seperti mainnan tinggal tgu kehancuran negeri ini,2024-08-12T08:32:11Z,2,0.0
@muhammadirfansyahfalah1820,bukannya itu tanda ga punya otak ya,2024-08-12T08:11:12Z,0,0.0
@jiyuchan17,"Jujur dulu setelah lulus kuliah sempet terbersit untuk jadi joki skripsi krn melihat demand-nya besar, melihat banyak mahasiswa mahasiswa yg basic menulis aja mereka gak bisa. Tapi alhamdulillah gak jadi, karena takut banget. Takut dosa, takut konsekuensi di masa depan, malu kalau ketauan temen jadi joki. Pokokknya rasa takutnya beneran kayak takut disuruh jadi maling. Entah kenapa makin kesini kok pemakai dan penyedia jasa joki bisa ilang rasa malu dan takutnya, kok bisa? Secara terbuka menyerang pakai akun nama asli kok gak malu? Moralnya ke mana?",2024-08-12T07:54:39Z,0,0.0
@radheksabintangakbar894,"Inget dulu beberapa kali jadi joki toefl lol. Jadi dulu temen2 saya kesulitan luar biasa buat dapetin skor 450 di toefl. Tahu saya jago english ya dimintalah saya jadi joki. Padahal temen2 saya yang minta dijokiin lebih gede ipknya dari saya hahaha. Dan yang mintanya itu gak satu dua orang, tapi hampir seangkatan. Semua gara2 syarat  toefl 450 buat daftar sidang.",2024-08-12T06:40:11Z,0,0.0
@akhmadramdhan8388,"dark sistem di dunia game           ❌


dark sistem di dunia nyata           ✅",2024-08-12T05:28:11Z,0,0.0
